,Date,Price,High,Low,Close,Volume,Adj Close
154,2016-10-24,6.82,6.92,6.62,6.63,1388300,6.63
155,2016-10-31,6.63,6.86,6.51,6.78,2720500,6.78
156,2016-11-07,6.94,8.09,6.55,8.05,5064800,8.05
157,2016-11-14,8.05,8.32,7.11,7.95,6427700,7.95
158,2016-11-21,8.06,8.57,7.94,8.48,2797000,8.48
159,2016-11-28,8.49,8.49,7.67,7.69,2971600,7.69
160,2016-12-05,7.78,8.38,7.7,8.22,3210900,8.22
161,2016-12-12,8.19,8.22,7.8,7.89,2370500,7.89
162,2016-12-19,7.88,8.04,7.56,7.6,1207600,7.6
163,2016-12-26,7.6,7.7,7.3,7.38,1390000,7.38
164,2017-01-02,7.42,7.6,7.26,7.49,1807500,7.49
165,2017-01-09,7.46,7.71,7.2,7.65,1970200,7.65
166,2017-01-16,7.63,7.63,7.08,7.24,1604600,7.24
167,2017-01-23,7.22,7.5,7.1,7.24,1499000,7.24
168,2017-01-30,7.17,7.25,6.84,6.96,1657700,6.96
169,2017-02-06,6.95,7.21,6.87,7.19,1495000,7.19
170,2017-02-13,7.26,8.27,7.21,8.04,4946500,8.04
171,2017-02-20,8.05,8.3,8,8.2,2088100,8.2
172,2017-02-27,8.23,8.24,7.89,8.05,1715900,8.05
173,2017-03-06,7.97,8.06,7.81,7.94,2085500,7.94
174,2017-03-13,7.94,8.27,7.87,8.2,1709100,8.2
175,2017-03-20,8.18,8.35,7.91,8.14,2351800,8.14
176,2017-03-27,8.02,8.47,7.95,8.44,1703300,8.44
177,2017-04-03,8.46,8.78,8.09,8.38,3449100,8.38
178,2017-04-10,8.35,8.4,8.04,8.05,1177500,8.05
179,2017-04-17,8.07,8.33,8.04,8.25,1602100,8.25
180,2017-04-24,8.38,9.07,8.26,9.01,3691200,9.01
181,2017-05-01,9.05,12.1,8.97,11.49,21515500,11.49
182,2017-05-08,11.5,11.73,11.36,11.53,4517800,11.53
183,2017-05-15,11.55,11.71,11.25,11.5,4426800,11.5
184,2017-05-22,11.6,12.19,11.53,11.97,6856800,11.97
185,2017-05-29,12,12.59,11.47,12.5,6577900,12.5
186,2017-06-05,12.52,13,12.18,12.35,8784000,12.35
187,2017-06-12,12.31,12.62,11.53,11.68,6647200,11.68
188,2017-06-19,11.72,12.92,11.63,12.77,7517800,12.77
189,2017-06-26,12.82,13.1,12.27,12.29,4841700,12.29
190,2017-07-03,12.3,12.3,11.93,12.24,1680500,12.24
191,2017-07-10,12.27,13.66,12.07,13.66,5541000,13.66
192,2017-07-17,13.66,14.33,13.49,13.88,6208500,13.88
193,2017-07-24,13.94,15.37,13.43,14.14,8959800,14.14
194,2017-07-31,14.14,15.95,13.21,14.96,14598000,14.96
195,2017-08-07,15.05,15.38,14.65,15.03,7489200,15.03
196,2017-08-14,15.26,15.43,14.39,14.63,5626000,14.63
197,2017-08-21,14.66,15.12,14.03,14.03,3855600,14.03
198,2017-08-28,14.03,14.34,13.63,13.82,5813400,13.82
199,2017-09-04,13.75,14.25,13.52,13.94,3341700,13.94
200,2017-09-11,14.1,15.17,14.02,14.59,5750900,14.59
201,2017-09-18,14.64,15.36,14.17,14.66,4013600,14.66
202,2017-09-25,14.65,15.17,14.22,14.84,3782800,14.84
203,2017-10-02,14.83,15.65,14.8,15.38,4677700,15.38
204,2017-10-09,15.35,15.56,15.13,15.51,2143000,15.51
205,2017-10-16,15.51,16.23,15.4,15.86,5198800,15.86
206,2017-10-23,15.99,16.49,15.12,16.48,4580200,16.48
207,2017-10-30,16.5,16.5,14.25,14.74,11420700,14.74
208,2017-11-06,14.74,14.88,13.75,14.09,5316300,14.09
209,2017-11-13,14.05,14.94,13.8,14.51,4286400,14.51
210,2017-11-20,14.71,15,14.19,14.91,2778400,14.91
211,2017-11-27,14.88,15.52,14.72,15.44,4603200,15.44
212,2017-12-04,15.49,15.5,13.83,15,3754100,15
213,2017-12-11,14.93,16,14.89,15.69,3526500,15.69
214,2017-12-18,15.83,16.67,15.81,16.29,5304500,16.29
215,2017-12-25,16.19,16.61,16.08,16.32,2093700,16.32
216,2018-01-01,16.35,17.04,16.28,16.79,2914100,16.79
217,2018-01-08,16.79,17.03,16.53,16.74,2241500,16.74
218,2018-01-15,16.82,16.89,15.79,16.47,2583700,16.47
219,2018-01-22,16.48,17.36,16.34,17.34,3020100,17.34
220,2018-01-29,17.28,17.42,16.85,17.06,3474400,17.06
221,2018-02-05,16.83,17.22,15.47,15.93,5500800,15.93
222,2018-02-12,16,19.96,15.85,19.57,17042900,19.57
223,2018-02-19,19.54,20.78,19.26,20.35,5618000,20.35
224,2018-02-26,20.38,21.09,19.42,21.07,5786700,21.07
225,2018-03-05,20.92,23.22,20.78,22.23,8516000,22.23
226,2018-03-12,22.27,22.73,21.25,21.28,6917600,21.28
227,2018-03-19,21.19,22.39,20.98,21.32,6767800,21.32
228,2018-03-26,21.63,22.45,19.5,20.66,10875700,20.66
229,2018-04-02,20.66,21.11,19.77,20.8,5010200,20.8
230,2018-04-09,20.88,21.97,20.79,21.75,5087300,21.75
231,2018-04-16,21.84,23.54,21.49,22.5,7387400,22.5
232,2018-04-23,22.64,22.88,20.4,22.6,8807200,22.6
233,2018-04-30,22.57,24.01,21.38,23.88,10010300,23.88
234,2018-05-07,24.05,25.59,24,25.28,8135300,25.28
235,2018-05-14,25.31,26.38,24.16,26.3,7624200,26.3
236,2018-05-21,26.42,26.91,25.5,26.84,4275600,26.84
237,2018-05-28,26.6,28.22,26.6,28.1,5470900,28.1
238,2018-06-04,28.25,28.85,27.64,28.47,6800600,28.47
239,2018-06-11,28.43,29.55,28.21,29.04,8746500,29.04
240,2018-06-18,28.79,29.76,27.13,27.91,8531600,27.91
241,2018-06-25,27.61,28.15,26.37,27.79,6089300,27.79
242,2018-07-02,27.53,29.1,27.28,28.76,3419400,28.76
243,2018-07-09,29.06,29.41,28.51,28.92,3707600,28.92
244,2018-07-16,29.08,29.54,28.67,29.06,4307500,29.06
245,2018-07-23,28.95,29.84,27.18,27.3,4550600,27.3
246,2018-07-30,27.34,28.51,25.38,27.13,13442400,27.13
247,2018-08-06,27.13,29.69,27.07,29.51,4505400,29.51
248,2018-08-13,29.52,30.25,28.81,30.21,4996100,30.21
249,2018-08-20,30.39,31.65,30.14,31.37,3687300,31.37
250,2018-08-27,31.5,32.71,30.99,32.38,5137800,32.38
251,2018-09-03,32.36,32.82,30.15,31.28,3689200,31.28
252,2018-09-10,31.71,32.14,30.56,31.71,4869700,31.71
253,2018-09-17,31.66,31.94,30.52,31.52,4544000,31.52
254,2018-09-24,31.33,32.55,26.54,28.43,13669800,28.43
255,2018-10-01,28.5,29.49,26.9,27.87,8426600,27.87
256,2018-10-08,27.72,28.19,24.81,25.5,7100200,25.5
257,2018-10-15,25.47,27.34,25,25.26,4210900,25.26
258,2018-10-22,25.36,26.14,23.32,23.8,6506200,23.8
259,2018-10-29,24.27,28.2,22.67,26.72,13931900,26.72
260,2018-11-05,26.77,27.99,25.97,27.09,5953800,27.09
261,2018-11-12,26.92,26.99,25.65,26.34,10021200,26.34
262,2018-11-19,26.25,26.47,23.21,25.12,3379900,25.12
263,2018-11-26,25.41,28.33,25.22,27.95,6054200,27.95
264,2018-12-03,28.5,29.03,27.02,28.69,5325800,28.69
265,2018-12-10,28.61,30.35,28.42,29.21,5985100,29.21
266,2018-12-17,29.08,30.24,25.72,25.89,7493700,25.89
267,2018-12-24,25.66,28.64,25.16,28,3158100,28
268,2018-12-31,28.2,29.99,27.58,29.88,3320800,29.88
269,2019-01-07,29.84,33.25,29.69,32.36,7698500,32.36
270,2019-01-14,32.1,34.09,31.56,33.9,6239900,33.9
271,2019-01-21,33.96,34.79,32.99,34.64,6765500,34.64
272,2019-01-28,34.09,35.62,33.86,35.4,5633900,35.4
273,2019-02-04,35.36,36.05,33.25,34.4,7836900,34.4
274,2019-02-11,34.53,38.76,34.19,37.76,17385700,37.76
275,2019-02-18,37.76,39.16,37.15,39.13,5752800,39.13
276,2019-02-25,39.37,40.55,38.46,40.42,7883500,40.42
277,2019-03-04,40.4,40.41,38.14,39.46,6155000,39.46
278,2019-03-11,39.54,41.66,39.35,41.09,6615800,41.09
279,2019-03-18,41.07,41.69,36.64,36.76,23708600,36.76
280,2019-03-25,36.59,38.55,36.07,38.12,18174100,38.12
281,2019-04-01,38.07,39.12,36.84,37.02,9605800,37.02
282,2019-04-08,37.12,37.85,36.78,37.32,6137100,37.32
283,2019-04-15,37.43,39.02,36.92,37.8,6466600,37.8
284,2019-04-22,37.59,40.3,37.1,40.08,7994500,40.08
285,2019-04-29,40.26,40.27,34.53,37.32,21016400,37.32
286,2019-05-06,36.06,37.45,35.48,36.7,6783000,36.7
287,2019-05-13,35.82,37.85,34.86,37.45,7751200,37.45
288,2019-05-20,36.83,38.04,35.49,36.74,5543000,36.74
289,2019-05-27,36.62,37.85,35.79,37.46,5872500,37.46
290,2019-06-03,37.35,39.98,35.52,39.38,7692100,39.38
291,2019-06-10,39.83,40.16,37.82,38.99,4702200,38.99
292,2019-06-17,39.09,40.64,38.97,39.3,5311600,39.3
293,2019-06-24,39.33,39.65,36.54,38.59,7158000,38.59
294,2019-07-01,39.43,40.7,39.07,40.55,3917900,40.55
295,2019-07-08,40.57,44.85,40.54,44.26,12311200,44.26
296,2019-07-15,44.35,45.19,43.31,43.33,7010100,43.33
297,2019-07-22,43.26,43.8,42.17,43.48,5362700,43.48
298,2019-07-29,43.48,48.22,41.17,44.76,14355100,44.76
299,2019-08-05,43.77,45.54,42.17,43.68,5691400,43.68
300,2019-08-12,43.32,43.45,39.05,40.46,8638400,40.46
301,2019-08-19,41.41,41.87,39.78,40.05,6569800,40.05
302,2019-08-26,40.48,41.11,39.24,39.64,8421600,39.64
303,2019-09-02,39.3,39.81,33.82,34.19,9196400,34.19
304,2019-09-09,35.38,35.48,32.55,34.48,13300700,34.48
305,2019-09-16,34.22,35.2,32.88,33.28,6841200,33.28
306,2019-09-23,33.33,34.42,29.35,30.05,11024600,30.05
307,2019-09-30,30.1,30.53,28.29,30.49,11442100,30.49
308,2019-10-07,30.47,32.67,30.15,32.13,8323300,32.13
309,2019-10-14,32.13,33.16,31.9,32.37,5806700,32.37
310,2019-10-21,32.45,33.12,31.4,32.71,6833500,32.71
311,2019-10-28,32.8,32.92,30.35,30.75,9020300,30.75
312,2019-11-04,30.9,35.57,29.17,34.05,17045300,34.05
313,2019-11-11,34.01,37.26,34.01,36.57,4833000,36.57
314,2019-11-18,36.56,37.14,35.92,36.6,4006600,36.6
315,2019-11-25,37.24,39.73,37.05,38.77,3807100,38.77
316,2019-12-02,38.84,38.94,37.22,37.95,3885400,37.95
317,2019-12-09,37.83,38.18,36.76,37.62,3551500,37.62
318,2019-12-16,37.82,39.45,37.82,38.35,5770700,38.35
319,2019-12-23,38.49,39.33,37.89,38.24,2540400,38.24
320,2019-12-30,38.28,39.2,37.56,38.31,3453700,38.31
321,2020-01-06,38.08,40.74,37.96,40.24,6263900,40.24
322,2020-01-13,40.5,43.53,40.29,43.33,6997700,43.33
323,2020-01-20,43.4,43.87,42.16,42.72,5070700,42.72
324,2020-01-27,41.72,42.82,40.77,41.23,5642500,41.23
325,2020-02-03,41.42,43.47,41.42,42.71,7069600,42.71
326,2020-02-10,43,44.9,39.03,40.08,19070200,40.08
327,2020-02-17,40.11,41.54,39.48,40.03,5065300,40.03
328,2020-02-24,38.51,39.91,35.88,39.21,9587800,39.21
329,2020-03-02,39.41,40.75,37.63,39.16,7229800,39.16
330,2020-03-09,37.01,39.91,34.02,36.1,15086300,36.1
331,2020-03-16,31.52,35.24,25.89,29.64,15495800,29.64
332,2020-03-23,30.13,37.1,29.23,36.26,12043200,36.26
333,2020-03-30,36.37,37.5,32.53,34.25,9997300,34.25
334,2020-04-06,35.07,37.69,33.55,37.65,7227000,37.65
335,2020-04-13,37.66,40.28,34.94,36.75,10603900,36.75
336,2020-04-20,36.18,39.59,34.93,39.47,6354000,39.47
337,2020-04-27,40.14,43.29,40.01,42.36,9794300,42.36
338,2020-05-04,41.93,63.5,41.24,63.13,69250400,63.13
339,2020-05-11,62.49,67.98,60.41,66.66,21477500,66.66
340,2020-05-18,66.19,66.87,61,64.91,15264600,64.91
341,2020-05-25,65.75,65.96,55.7,61.08,12771600,61.08
342,2020-06-01,61.8,65.39,57.08,58.54,17120500,58.54
343,2020-06-08,57.58,60.03,54.85,56.9,14108900,56.9
344,2020-06-15,57.43,69.05,56.9,67.81,21153700,67.81
345,2020-06-22,69.27,70.57,62.52,65.42,32441200,65.42
346,2020-06-29,65.7,71.24,63.69,70.2,13198700,70.2
347,2020-07-06,71.34,75.24,69.65,75.02,13891700,75.02
348,2020-07-13,77.12,77.42,67.07,73,13180500,73
349,2020-07-20,73.5,79.09,71.41,73.42,11369100,73.42
350,2020-07-27,74.3,81.03,72.55,80.97,12347400,80.97
351,2020-08-03,84.6,89.82,80.46,86.98,28604100,86.98
352,2020-08-10,87.9,88.32,73.93,77.14,17970200,77.14
353,2020-08-17,78.44,82.07,75.69,77.79,19571200,77.79
354,2020-08-24,78.19,78.67,72.05,72.96,15811300,72.96
355,2020-08-31,73.25,78.29,63.52,67.94,20049400,67.94
356,2020-09-07,65.88,69.15,64.7,65.65,8970300,65.65
357,2020-09-14,66.59,67.59,62.84,64.1,9043100,64.1
358,2020-09-21,63.76,71.52,63.75,69.66,13882700,69.66
359,2020-09-28,70.24,74.71,70,72.57,6799000,72.57
360,2020-10-05,72.77,82.25,71.54,81.38,8057000,81.38
361,2020-10-12,82.42,86.23,81.23,84.39,8393500,84.39
362,2020-10-19,85.5,89.08,84.57,86.76,8628600,86.76
363,2020-10-26,87.03,89.99,72.54,73.44,18570500,73.44
364,2020-11-02,74.85,78.99,71.92,77.23,7047400,77.23
365,2020-11-09,71.51,72.38,64.8,70.39,14744800,70.39
366,2020-11-16,67.79,72.76,66.9,71.02,11122300,71.02
367,2020-11-23,70.83,75.25,68.1,75.01,9657400,75.01
368,2020-11-30,77.43,78.8,75.26,75.94,8990800,75.94
369,2020-12-07,76.94,82.75,76.24,81.95,7858700,81.95
370,2020-12-14,81.27,88.77,81,87.5,9207300,87.5
371,2020-12-21,87.95,95.2,86.57,92.41,8111600,92.41
372,2020-12-28,93.19,93.69,87.07,90.33,4891600,90.33
373,2021-01-04,90.25,96.89,85.87,96.63,9357700,96.63
374,2021-01-11,95,104.82,94.55,97.77,7371300,97.77
375,2021-01-18,98.21,102.12,95.91,96.87,6406600,96.87
376,2021-01-25,98.48,104,90.51,95.26,10737000,95.26
377,2021-02-01,96.14,103.14,94.69,102.15,6148200,102.15
378,2021-02-08,104,113.96,100.1,113.51,14199400,113.51
379,2021-02-15,113.43,115.21,101.11,108.78,12641100,108.78
380,2021-02-22,108.09,108.27,91.59,96.53,12687100,96.53
381,2021-03-01,98.4,100.19,81.45,87.55,14787100,87.55
382,2021-03-08,87,90.84,80.48,89.2,10403800,89.2
383,2021-03-15,90,95.39,88.48,91.69,8359500,91.69
384,2021-03-22,92.41,94.25,82.34,85.3,6216000,85.3
385,2021-03-29,84.4,89.09,80.33,88.25,5420700,88.25
386,2021-04-05,89.06,91.55,87.14,89.63,4762200,89.63
387,2021-04-12,88.72,92.73,87.18,92.2,5047400,92.2
388,2021-04-19,91,95.6,88.59,92.03,7024800,92.03
389,2021-04-26,93.37,96.94,89.79,90.33,4666100,90.33
390,2021-05-03,91.11,91.52,80.16,85.16,14969100,85.16
391,2021-05-10,84.19,84.68,75.08,77.35,11350000,77.35
392,2021-05-17,76.58,78.63,72.5,73.85,10284300,73.85
393,2021-05-24,74.63,77.74,72.91,76.91,7568300,76.91
394,2021-05-31,76.86,77.5,72.41,72.78,5198500,72.78
